"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 18:21:48 GMT 2023","Sun Apr 09 18:21:48 GMT 2023","0","tests","test_for_different_file_formats","","","","Archive size test and number of files in it",""
"passed","Sun Apr 09 18:21:48 GMT 2023","Sun Apr 09 18:21:48 GMT 2023","8","tests","test_for_different_file_formats","","","","Text occurrence test in {xlsx} file",""
"passed","Sun Apr 09 18:21:48 GMT 2023","Sun Apr 09 18:21:48 GMT 2023","65","tests","test_for_different_file_formats","","","","Text occurrence test in {pdf} file",""
"broken","Sun Apr 09 18:21:48 GMT 2023","Sun Apr 09 18:21:48 GMT 2023","1","tests","test_for_different_file_formats","","","","String occurrence test in {csv} file",""
